doi,issued,fname1,lname1,orcid1,affiliation1,org1,city1,region1,country1,fname2,lname2,orcid2,affiliation2,org2,city2,region2,country2,unique_place_id,lat2,lng2
10.5061/dryad.kh1893284,2023-04-11T00:00:00Z,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Naaman,Omar,,,,,,,  ,,
10.5061/dryad.kh1893284,2023-04-11T00:00:00Z,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Brian,Beardsall,,,,,,,  ,,
10.5061/dryad.kh1893284,2023-04-11T00:00:00Z,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Katherine,Fleury,,,,,,,  ,,
10.5061/dryad.kh1893284,2023-04-11T00:00:00Z,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Esther,Ataikiru,,,,,,,  ,,
10.5061/dryad.kh1893284,2023-04-11T00:00:00Z,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Douglas,Campbell,,,,,,,  ,,
10.6084/m9.figshare.25959061,2024-01-01,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Aurora,Mattison,,,,,,,  ,,
10.6084/m9.figshare.25959061,2024-01-01,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Laurel,Genge,,,,,,,  ,,
10.6084/m9.figshare.25959061,2024-01-01,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Julie,Nadeau,0009-0009-8123-6237,,Mount Allison University,Sackville,New Brunswick,CA,Sackville New Brunswick CA,46.00015,-64.38205
10.6084/m9.figshare.25959061,2024-01-01,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Maximilian,Berthold,,,,,,,  ,,
10.6084/m9.figshare.25959061,2024-01-01,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Sylwia,Śliwińska-Wilczewska,,,,,,,  ,,
10.6084/m9.figshare.25959061,2024-01-01,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Naaman,M. Omar,0000-0001-9583-2886,,Mount Allison University,Sackville,New Brunswick,CA,Sackville New Brunswick CA,46.00015,-64.38205
10.6084/m9.figshare.25959061,2024-01-01,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,O,Prasil,,,,,,,  ,,
10.6084/m9.figshare.25959061,2024-01-01,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Amanda,M. Cockshutt,,,,,,,  ,,
10.6084/m9.figshare.25959061,2024-01-01,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Douglas A,Campbell,,,,,,,  ,,
10.17613/6mxy-gx95,2022-10-01,Gavin,Goodwin,0000-0001-6619-3202,Libraries & Archives,Mount Allison University,Sackville,NB,CA,Virginia,Kerr,,,,,,,  ,,
10.5683/sp3/aw5uf5,2023-01-01,Elizabeth,Stregger,0000-0002-2183-3592,Libraries & Archives,Mount Allison University,Sackville,NB,CA,Rachel,Rubin,,,,,,,  ,,
10.5683/sp3/aw5uf5,2023-01-01,Elizabeth,Stregger,0000-0002-2183-3592,Libraries & Archives,Mount Allison University,Sackville,NB,CA,Laura,Landon,0000-0001-7170-0766,,Mount Allison University,Sackville,NB,CA,Sackville NB CA,46.00015,-64.38205
10.1139/cjc-2025-0060,2025-07-04,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephen J.,Geier,/0000-0001-5265-2615,Mount Allison University,,,,,  ,,
10.1139/cjc-2025-0060,2025-07-04,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Jennifer A.,Melanson,,Mount Allison University,,,,,  ,,
10.1139/cjc-2025-0060,2025-07-04,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Lara K.,Watanabe,,University of Windsor,,,,,  ,,
10.1139/cjc-2025-0060,2025-07-04,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephanie C.,Kosnick,,University of Windsor,,,,,  ,,
10.1139/cjc-2025-0060,2025-07-04,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Charles L.B.,Macdonald,,,,,,,  ,,
10.1139/cjc-2025-0060,2025-07-04,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephen A.,Westcott,,Mount Allison University,,,,,  ,,
10.1139/cjc-2022-0088,2023-07-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Samuel R.,Baird,,"Department of Chemistry and Biochemistry, Mount Allison University",,,,,  ,,
10.1139/cjc-2022-0088,2023-07-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Christopher M.,Vogels,/0000-0001-8581-1344,"Department of Chemistry and Biochemistry, Mount Allison University",,,,,  ,,
10.1139/cjc-2022-0088,2023-07-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephen J.,Geier,/0000-0001-5265-2615,"Department of Chemistry and Biochemistry, Mount Allison University",,,,,  ,,
10.1139/cjc-2022-0088,2023-07-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Lara K.,Watanabe,/0000-0002-0327-5611,"Department of Chemistry and Biochemistry, University of Windsor",,,,,  ,,
10.1139/cjc-2022-0088,2023-07-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Justin F.,Binder,/0000-0002-0213-3531,"Department of Chemistry and Biochemistry, University of Windsor",,,,,  ,,
10.1139/cjc-2022-0088,2023-07-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Charles L. B.,Macdonald,/0000-0002-0574-1524,"Faculty of Science, Dalhousie University",,,,,  ,,
10.1139/cjc-2022-0088,2023-07-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephen A.,Westcott,/0000-0002-5324-2295,"Department of Chemistry and Biochemistry, Mount Allison University",,,,,  ,,
10.1039/d2cs00344a,2022-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephen J.,Geier,/0000-0001-5265-2615,"Department of Chemistry and Biochemistry, Mount Allison University, Sackville, NB E4L 1G8, Canada",,,,,  ,,
